"id";"nome";"instituicao_id";"telefone";"instituicao";"endereco";"bairro";"bairro_zona";"area_construida";"area_terrestre";"coordinates_x";"coordinates_y";"matriculas_qtd";"fundamental_qtd";"infantil_qtd";"professores_qtd";"auxiliares_qtd";"coordenador_qtd";"ativo";"anexo";"modalidade_fund";"modalidade_inf"
19;E.M.E.F. ELISALDO RIBEIRO DE FARIAS;19;"98118-4827";E.M.E.F. ELISALDO RIBEIRO DE FARIAS;RUA ROGERIO CARDOSO;LIBERDADE II;URBANA;3049.85;6270.91;-49.90487590677667;-6.084394725217578;283;283;;16;;2;true;false;true;false
20;E.M.E.F. EUNICE MOREIRA DOS SANTOS ;20;"9953-3312";E.M.E.F. EUNICE MOREIRA DOS SANTOS ;RUA LUANDA;VILA RICA;URBANA;3104.86;4737.64;-49.890498027767194;-6.04410856257536;1097;1097;;49;36;3;true;false;true;false
21;E.M.E.F. EURIDES SANTANA;21;"99232-0222";E.M.E.F. EURIDES SANTANA;AVENIDA JK;RIO VERDE;URBANA;2989.63;6762.75;-49.895501325709596;-6.082422594372858;1153;1153;;31;;3;true;false;true;false
22;E.M.E.F. FARUK SALMEN;22;TELEFONE NÃO INFORMADO;E.M.E.F. FARUK SALMEN;RUA PAULO AFONSO;GUANABARA;URBANA;3637.22;8981.91;-49.88842686729832;-6.090551833708517;1095;1095;;39;;4;true;false;true;false
23;E.M.E.F. FERNANDO PESSOA;23;"9980-2004";E.M.E.F. FERNANDO PESSOA;RUA PINHEIRO;MINÉRIOS;URBANA;3118.32;6789.08;-49.874741602459494;-6.054064839376366;1249;1249;;41;19;3;true;false;true;false
24;E.M.E.F. IRMÃ LAURA;24;"99143-5736";E.M.E.F. IRMÃ LAURA;RUA RIO CLARO;MORADA NOVA;URBANA;3309.23;5260.01;-49.88557849084308;-6.100724584044073;823;823;;28;22;3;true;false;true;false
25;E.M.E.F. JEAN PIAGET;25;"9664-2973";E.M.E.F. JEAN PIAGET;AVENIDA GOIÁS;LIBERDADE I;URBANA;3257.68;4555.74;-49.90738650765688;-6.082304056030537;1301;1301;;48;13;4;true;false;true;false
26;E.M.E.F. JOÃO PRUDÊNCIO DE BRITO;26;"98143-3745";E.M.E.F. JOÃO PRUDÊNCIO DE BRITO;RUA C;CIDADE NOVA;URBANA;2782.78;3444.79;-49.91658466585411;-6.061411898898328;676;676;;24;;2;true;false;true;false
27;E.M.E.F. JORGE AMADO;27;"99244-1804";E.M.E.F. JORGE AMADO;APA DO IGARAPÉ GELADO ;REGIÃO RURAL;RURAL;;;;;229;186;43;11;3;1;true;false;true;true
28;E.M.E.F. JOSÉ RODRIGUES DA SILVA;28;TELEFONE NÃO INFORMADO;E.M.E.F. JOSÉ RODRIGUES DA SILVA;ENDEREÇO NÃO INFORMADO;BAIRRO NÃO INFORMADO;RURAL;;;;;96;86;10;11;0;0;true;false;true;true
